enabled,case_id,model_id,provider_label,prompt_id,prompt_text,condition_label,temperature,top_p,reasoning_effort,max_tokens,repetitions,seed_policy,seed_start,notes,provider_order,allow_fallbacks,require_parameters,provider_ignore
FALSE,google_gemini31_pro_preview_basic,google/gemini-3.1-pro-preview,Google,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,128,25,none,,Repair batch: previous run hit MAX_TOKENS with empty content,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,google_gemini31_flash_lite_basic,google/gemini-3.1-flash-lite,Google,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Gemini 3.1 small,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,google_gemini3_flash_preview_basic,google/gemini-3-flash-preview,Google,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Gemini 3 preview,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,google_gemini25_pro_basic,google/gemini-2.5-pro,Google,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,128,25,none,,Repair batch: previous run hit MAX_TOKENS with empty content,google-vertex/global,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,google_gemini25_flash_basic,google/gemini-2.5-flash,Google,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Gemini 2.5 baseline,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,google_gemini25_flash_lite_basic,google/gemini-2.5-flash-lite,Google,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Gemini 2.5 small,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,xai_grok43_basic,x-ai/grok-4.3,xAI,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,minimal,64,25,none,,Grok current,xai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,xai_grok420_basic,x-ai/grok-4.20,xAI,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,minimal,64,25,none,,Grok comparison,xai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,xai_grok420_multi_agent_basic,x-ai/grok-4.20-multi-agent,xAI,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,minimal,64,25,none,,Agent-flavored Grok variant,xai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,mistral_medium35_basic,mistralai/mistral-medium-3-5,Mistral,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Mistral current medium,mistral,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,mistral_large2512_basic,mistralai/mistral-large-2512,Mistral,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Mistral current large,mistral,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,mistral_small2603_basic,mistralai/mistral-small-2603,Mistral,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Mistral current small,mistral,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,mistral_medium31_basic,mistralai/mistral-medium-3.1,Mistral,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Mistral older medium,mistral,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,deepseek_v4_pro_basic,deepseek/deepseek-v4-pro,DeepSeek,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,64,25,none,,Repair batch: previous deepseek provider pin returned no endpoints,novita/fp8,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,deepseek_v4_flash_basic,deepseek/deepseek-v4-flash,DeepSeek,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,64,25,none,,Repair batch: previous deepseek provider pin returned no endpoints,novita/fp8,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,deepseek_v32_basic,deepseek/deepseek-v3.2,DeepSeek,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,DeepSeek V3.2,novita/fp8,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,deepseek_v32_speciale_basic,deepseek/deepseek-v3.2-speciale,DeepSeek,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,DeepSeek V3.2 variant; disabled: no reliable endpoint returned by OpenRouter endpoints API,,TRUE,FALSE,"atlas-cloud,atlascloud"
FALSE,deepseek_v31_basic,deepseek/deepseek-chat-v3.1,DeepSeek,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,64,25,none,,Repair batch: previous deepinfra/fp4 route returned provider errors,novita/fp8,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,deepseek_r1_basic,deepseek/deepseek-r1,DeepSeek,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Reasoning model comparison,novita/fp8,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,qwen37_max_basic,qwen/qwen3.7-max,Qwen,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,64,25,none,,Repair batch: previous Alibaba route had provider errors on some calls,alibaba,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,qwen36_plus_basic,qwen/qwen3.6-plus,Qwen,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Qwen plus,alibaba,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,qwen36_flash_basic,qwen/qwen3.6-flash,Qwen,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,64,25,none,,Repair batch: previous Alibaba route had provider errors,alibaba,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,qwen36_max_preview_basic,qwen/qwen3.6-max-preview,Qwen,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Qwen max preview,alibaba,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,qwen35_plus_basic,qwen/qwen3.5-plus-20260420,Qwen,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,64,25,none,,Repair batch: previous Alibaba route had provider errors,alibaba,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,qwen3_max_basic,qwen/qwen3-max,Qwen,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,64,25,none,,Repair batch: previous Alibaba route hit rate limit on some calls,alibaba,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,qwen3_max_thinking_basic,qwen/qwen3-max-thinking,Qwen,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Thinking variant,alibaba,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,meta_llama4_maverick_basic,meta-llama/llama-4-maverick,Meta,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Meta Llama 4,deepinfra/base,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,meta_llama4_scout_basic,meta-llama/llama-4-scout,Meta,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Meta Llama 4,deepinfra/fp8,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,meta_llama33_70b_basic,meta-llama/llama-3.3-70b-instruct,Meta,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Meta Llama 3.3 baseline,deepinfra/turbo,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,openai_gpt55_fair,openai/gpt-5.5,OpenAI,fair_draw,Simulate a fair random draw of one integer from 1 to 100. Reply only with the integer.,model_only,1,1,minimal,64,25,none,,Prompt variant after baseline,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,anthropic_sonnet46_human,anthropic/claude-sonnet-4.6,Anthropic,human_random,Pick the number that feels most random between 1 and 100. Reply only with the number.,model_only,1,1,,16,25,none,,Prompt variant after baseline,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,control_math_random_basic,control/math_random,Control,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,control_rng,,,,,25,internal_rng,,Local JavaScript Math.random control appended by scripts/append-control-results.py,,,,
FALSE,control_crypto_random_basic,control/crypto_random,Control,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,control_rng,,,,,25,internal_rng,,Local Node crypto.randomInt control appended by scripts/append-control-results.py,,,,
FALSE,battery_openai_gpt_55_battery_number_1_100,openai/gpt-5.5,OpenAI,battery_number_1_100,Pick a random integer from 1 to 100. Reply with only the number.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_55_battery_first_number_1_100,openai/gpt-5.5,OpenAI,battery_first_number_1_100,Say the first number from 1 to 100 that comes to mind. Reply with only the number.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_55_battery_prime_under_100,openai/gpt-5.5,OpenAI,battery_prime_under_100,Pick a random prime number under 100. Reply with only the number.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_55_battery_letter_a_z,openai/gpt-5.5,OpenAI,battery_letter_a_z,Pick a random uppercase letter from A to Z. Reply with only the letter.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_55_battery_option_abcd,openai/gpt-5.5,OpenAI,battery_option_abcd,"Choose one option from A, B, C, or D at random. Reply with only the letter.",prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_55_battery_color,openai/gpt-5.5,OpenAI,battery_color,Pick a random color. Reply with only the color name.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_55_battery_city,openai/gpt-5.5,OpenAI,battery_city,Pick a random city in the world. Reply with only the city name.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_55_battery_object,openai/gpt-5.5,OpenAI,battery_object,Pick a random everyday object. Reply with only the object name.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_55_battery_year_1900_2099,openai/gpt-5.5,OpenAI,battery_year_1900_2099,Pick a random year from 1900 to 2099. Reply with only the year.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_55_battery_first_name,openai/gpt-5.5,OpenAI,battery_first_name,Make up a random first name. Reply with only the name.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_54_mini_battery_number_1_100,openai/gpt-5.4-mini,OpenAI,battery_number_1_100,Pick a random integer from 1 to 100. Reply with only the number.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_54_mini_battery_first_number_1_100,openai/gpt-5.4-mini,OpenAI,battery_first_number_1_100,Say the first number from 1 to 100 that comes to mind. Reply with only the number.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_54_mini_battery_prime_under_100,openai/gpt-5.4-mini,OpenAI,battery_prime_under_100,Pick a random prime number under 100. Reply with only the number.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_54_mini_battery_letter_a_z,openai/gpt-5.4-mini,OpenAI,battery_letter_a_z,Pick a random uppercase letter from A to Z. Reply with only the letter.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_54_mini_battery_option_abcd,openai/gpt-5.4-mini,OpenAI,battery_option_abcd,"Choose one option from A, B, C, or D at random. Reply with only the letter.",prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_54_mini_battery_color,openai/gpt-5.4-mini,OpenAI,battery_color,Pick a random color. Reply with only the color name.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_54_mini_battery_city,openai/gpt-5.4-mini,OpenAI,battery_city,Pick a random city in the world. Reply with only the city name.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_54_mini_battery_object,openai/gpt-5.4-mini,OpenAI,battery_object,Pick a random everyday object. Reply with only the object name.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_54_mini_battery_year_1900_2099,openai/gpt-5.4-mini,OpenAI,battery_year_1900_2099,Pick a random year from 1900 to 2099. Reply with only the year.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_openai_gpt_54_mini_battery_first_name,openai/gpt-5.4-mini,OpenAI,battery_first_name,Make up a random first name. Reply with only the name.,prompt_battery,1,1,minimal,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_sonnet_46_battery_number_1_100,anthropic/claude-sonnet-4.6,Anthropic,battery_number_1_100,Pick a random integer from 1 to 100. Reply with only the number.,prompt_battery,1,1,,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_sonnet_46_battery_first_number_1_100,anthropic/claude-sonnet-4.6,Anthropic,battery_first_number_1_100,Say the first number from 1 to 100 that comes to mind. Reply with only the number.,prompt_battery,1,1,,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_sonnet_46_battery_prime_under_100,anthropic/claude-sonnet-4.6,Anthropic,battery_prime_under_100,Pick a random prime number under 100. Reply with only the number.,prompt_battery,1,1,,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_sonnet_46_battery_letter_a_z,anthropic/claude-sonnet-4.6,Anthropic,battery_letter_a_z,Pick a random uppercase letter from A to Z. Reply with only the letter.,prompt_battery,1,1,,16,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_sonnet_46_battery_option_abcd,anthropic/claude-sonnet-4.6,Anthropic,battery_option_abcd,"Choose one option from A, B, C, or D at random. Reply with only the letter.",prompt_battery,1,1,,16,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_sonnet_46_battery_color,anthropic/claude-sonnet-4.6,Anthropic,battery_color,Pick a random color. Reply with only the color name.,prompt_battery,1,1,,32,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_sonnet_46_battery_city,anthropic/claude-sonnet-4.6,Anthropic,battery_city,Pick a random city in the world. Reply with only the city name.,prompt_battery,1,1,,32,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_sonnet_46_battery_object,anthropic/claude-sonnet-4.6,Anthropic,battery_object,Pick a random everyday object. Reply with only the object name.,prompt_battery,1,1,,32,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_sonnet_46_battery_year_1900_2099,anthropic/claude-sonnet-4.6,Anthropic,battery_year_1900_2099,Pick a random year from 1900 to 2099. Reply with only the year.,prompt_battery,1,1,,32,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_sonnet_46_battery_first_name,anthropic/claude-sonnet-4.6,Anthropic,battery_first_name,Make up a random first name. Reply with only the name.,prompt_battery,1,1,,32,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_haiku_45_battery_number_1_100,anthropic/claude-haiku-4.5,Anthropic,battery_number_1_100,Pick a random integer from 1 to 100. Reply with only the number.,prompt_battery,1,1,,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_haiku_45_battery_first_number_1_100,anthropic/claude-haiku-4.5,Anthropic,battery_first_number_1_100,Say the first number from 1 to 100 that comes to mind. Reply with only the number.,prompt_battery,1,1,,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_haiku_45_battery_prime_under_100,anthropic/claude-haiku-4.5,Anthropic,battery_prime_under_100,Pick a random prime number under 100. Reply with only the number.,prompt_battery,1,1,,64,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_haiku_45_battery_letter_a_z,anthropic/claude-haiku-4.5,Anthropic,battery_letter_a_z,Pick a random uppercase letter from A to Z. Reply with only the letter.,prompt_battery,1,1,,16,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_haiku_45_battery_option_abcd,anthropic/claude-haiku-4.5,Anthropic,battery_option_abcd,"Choose one option from A, B, C, or D at random. Reply with only the letter.",prompt_battery,1,1,,16,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_haiku_45_battery_color,anthropic/claude-haiku-4.5,Anthropic,battery_color,Pick a random color. Reply with only the color name.,prompt_battery,1,1,,32,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_haiku_45_battery_city,anthropic/claude-haiku-4.5,Anthropic,battery_city,Pick a random city in the world. Reply with only the city name.,prompt_battery,1,1,,32,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_haiku_45_battery_object,anthropic/claude-haiku-4.5,Anthropic,battery_object,Pick a random everyday object. Reply with only the object name.,prompt_battery,1,1,,32,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_haiku_45_battery_year_1900_2099,anthropic/claude-haiku-4.5,Anthropic,battery_year_1900_2099,Pick a random year from 1900 to 2099. Reply with only the year.,prompt_battery,1,1,,32,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_anthropic_claude_haiku_45_battery_first_name,anthropic/claude-haiku-4.5,Anthropic,battery_first_name,Make up a random first name. Reply with only the name.,prompt_battery,1,1,,32,25,none,,Prompt battery; enable selected rows for the next fingerprint run,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_google_gemini_35_flash_battery_number_1_100,google/gemini-3.5-flash,Google,battery_number_1_100,Pick a random integer from 1 to 100. Reply with only the number.,prompt_battery,1,1,,128,25,none,,Prompt battery; enable selected rows for the next fingerprint run,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_google_gemini_35_flash_battery_first_number_1_100,google/gemini-3.5-flash,Google,battery_first_number_1_100,Say the first number from 1 to 100 that comes to mind. Reply with only the number.,prompt_battery,1,1,,128,25,none,,Prompt battery; enable selected rows for the next fingerprint run,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_google_gemini_35_flash_battery_prime_under_100,google/gemini-3.5-flash,Google,battery_prime_under_100,Pick a random prime number under 100. Reply with only the number.,prompt_battery,1,1,,128,25,none,,Prompt battery; enable selected rows for the next fingerprint run,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_google_gemini_35_flash_battery_letter_a_z,google/gemini-3.5-flash,Google,battery_letter_a_z,Pick a random uppercase letter from A to Z. Reply with only the letter.,prompt_battery,1,1,,128,25,none,,Prompt battery; enable selected rows for the next fingerprint run,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_google_gemini_35_flash_battery_option_abcd,google/gemini-3.5-flash,Google,battery_option_abcd,"Choose one option from A, B, C, or D at random. Reply with only the letter.",prompt_battery,1,1,,128,25,none,,Prompt battery; enable selected rows for the next fingerprint run,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_google_gemini_35_flash_battery_color,google/gemini-3.5-flash,Google,battery_color,Pick a random color. Reply with only the color name.,prompt_battery,1,1,,128,25,none,,Prompt battery; enable selected rows for the next fingerprint run,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,battery_google_gemini_35_flash_battery_city,google/gemini-3.5-flash,Google,battery_city,Pick a random city in the world. Reply with only the city name.,prompt_battery,1,1,,128,25,none,,Prompt battery; enable selected rows for the next fingerprint run,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
